Lp,Ulica,Dodatkowe informacje
1,os. Tysiąclecia 45,wolnostojący
2,ul. 28 Czerwca 1956 r. nr 352/360,teren szkoły
3,ul. Arciszewskiego 35,obok pojemników na odpady segregowane
4,ul. Ballenstaedta 11,obok paczkomatu – z lewej strony
5,os. Batorego 4A,wolnostojący na parkingu
6,os. Batorego 18a,obok altany na odpady
7,os. Batorego 27c,przy pojemnikach na odpady segregowane
8,os. Batorego 39,obok altany na odpady
9,os. Batorego 75a,obok altany na odpady
10,os. Bohaterów II Wojny Światowej 33,przy pojemnikach na odpady segregowane
11,os. Bolesława Śmiałego 107,SP nr 34
12,ul. Bonin 10,przy pojemnikach na odpady segregowane
13,ul. Byczyńska 11A,PSM Wielkopolanka
14,ul. Cegielskiego 1 VIII,LO im. Adama Mickiewicza
15,os. Chrobrego 7,obok altany na odpady
16,ul. Chrobrego 15,obok pojemników na odpady segregowane
17,os. Chrobrego 34,obok pojemników na odpady segregowane
18,ul. Czapla 21,PSM Wielkopolanka
19,ul. Galileusza 6,obok pojemników na odpady segregowane
20,ul. Galileusza 14,Szkoła Podstawowa nr 7
21,ul. Głogowska 113/117,obok altany na odpady
22,ul. Górna Wilda 83 A-C,PSM Wielkopolanka
23,os. Jagiellońskie 17,parking przy targowisku
24,os. Jagiellońskie 128,teren szkoły
25,os. Jagiełły 3,obok altany na odpady
26,ul. Janikowska 23B, przy paczkomacie
27,ul. Keplera 8A,obok pojemników na odpady segregowane
28,os. Kosmonautów 2,PSM Winogrady
29,os. Kosmonautów 16,obok pojemników na segregowane odpady
30,ul. Krańcowa 48,obok pojemników na segregowane odpady
31,ul. Kurpińskiego,obok pojemników na odpady segregowane
32,os. Lecha 37,SP nr 51
33,os. Lecha 121, obok pasażu sklepów — na parkingu
34,ul. Leszka 31,PSM Wielkopolanka
35,ul. Łukaszewicza róg ul. Stablewskiego,obok pojemników na odpady segregowane
36,ul. Gen. St. Maczka 14,przy pojemnikach na odpady segregowane
37,ul. Mścibora 66,obok altany na odpady
38,os. Na Murawie 3-13,PSM Wielkopolanka
39,os. Na Skarpie 84,obok altany i sali bankietowej
40,ul. Nad Potokiem 1,wolnostojący
41,ul. Naramowicka 149b,przy pojemnikach półpodziemnych
42,ul. Naramowicka 157,przy pojemnikach półpodziemnych
43,ul. Naramowicka 169,przy pojemnikach półpodziemnych
44,ul. Naramowicka 203,PSM Wielkopolanka
45,ul. Newtona 1,obok pojemników na odpady segregowane
46,ul. Olszynka 8,obok pojemników na odpady segregowane
47,os. Orła Białego 71,obok altany na odpady
48,os. Pod Lipami 7,PSM Winogrady
49,os. Pod Lipami 81,obok pojemników na segregowane odpady
50,os. Potockiej 38 XXXVII,LO z Oddziałami Terapeutycznymi
51,os. Przemysława 21,siedziba SM Zrzeszeni
52,os. Przyjaźni 18,PSM Winogrady
53,os. Przyjaźni 142,obok altany na odpady
54,ul. Raszkowska 21,obok pojemników na odpady segregowane
55,ul. Raszyńska 4,obok altany na odpady
56,ul. Raszyńska 33,obok pojemników na odpady segregowane
57,os. Rusa 58,obok altany na odpady
58,ul. Sarmacka 8f,przy pojemnikach na odpady segregowane
59,os. Sobieskiego 41F,obok altany na odpady
60,ul. Sokoła 25,wolnostojący
61,os. Stare Żegrze 109, obok Netto
62,ul. Strugarka 13,obok altany na odpady
63,ul. Szarych Szeregów 36,przy pojemnikach na tekstylia
64,ul. Szpitalna 10-14,przy pojemnikach na odpady segregowane
65,os. Śmiałego 27,PSM Wielkopolanka
66,os. Śmiałego 104,obok altany śmietnikowej — na parkingu
67,ul. Świerkowa 8,Zespół Szkół Mechanicznych im. KEN
68,ul. Św. Rocha 19A-P,PSM Wielkopolanka
69,ul. Warzywna 19,Zespół Szkół Przemysłu Spożywczego
70,os. Wichrowe Wzgórze 3,PSM Winogrady
71,os. Wichrowe Wzgórze 8,PSM Winogrady
72,os. Wichrowe Wzgórze 21,PSM Winogrady
73,os. Wichrowe Wzgórze 30,PSM Winogrady
74,os. Wichrowe Wzgórze 35 R,wolnostojący
75,ul. Winiary 13, "przy wieżowcach Winiary nr 7, 8 ,9"
76,ul. Zmartwychwstańców 10 V,LO im. Klaudyny Potockiej
77,os. Zwycięstwa 22m,obok altany na odpady
78,os. Zwycięstwa 125, obok biblioteki Raczyńskich